v1,v2,,,
ham,Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..,,,
ham,Aiyo a bit pai seh Ì_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,,,
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",,,
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,,,
ham,"Call me da, i am waiting for your call.",,,
ham,Hey... Very inconvenient for your sis a not huh?,,,
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",,,
ham,Just come home. I don't want u to be miserable,,,
ham,Yup bathe liao...,,,
ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.",,,
ham,"Yo my trip got postponed, you still stocked up?",,,
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,
ham,I love your ass! Do you enjoy doggy style? :),,,
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,,,
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",,,
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",,,
ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,,,
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me,,,
ham,"Thank you. And by the way, I just lost.",,,
ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,,,
ham,"I'm a guy, browsin is compulsory",,,
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",,,
ham,"life alle mone,eppolum oru pole allalo",,,
ham,Thanks honey. Have a great day.,,,
ham,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",,,
ham,What should i eat fo lunch senor,,,
ham,I dont understand your message.,,,
ham,"U need my presnts always bcz U cant mis love. \jeevithathile irulinae neekunna prakasamanu sneham\"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....""",,,
ham,R u still working now?,,,
ham,Waiting in e car 4 my mum lor. U leh? Reach home already?,,,
ham,Thanks. Fills me with complete calm and reassurance! ,,,
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,,,
ham,Great! How is the office today?,,,
ham,R Ì_ going 4 today's meeting?,,,
ham,No no. I will check all rooms befor activities,,,
ham,"I'm outside islands, head towards hard rock and you'll run into me",,,
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
ham,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",,,
ham,Pls she needs to dat slowly or she will vomit more.,,,
spam,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,
ham,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",,,
ham,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:),,,
spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,,,
spam,This message is brought to you by GMW Ltd. and is not connected to the,,,
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,,,
ham,Captain is in our room:),,,
ham,No no. I will check all rooms befor activities,,,
ham,Ok... But bag again..,,,
ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),,,
ham,"K, can that happen tonight?",,,
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,
ham,Okay... We wait ah,,,
ham,Convey my regards to him,,,
ham,"\Response\"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So"," always give response 2 who cares 4 U\""... Gud night..swt dreams..take care""",,
ham,"Yes, princess. Toledo.",,,
ham,"Coffee cake, i guess...",,,
ham,"Lets use it next week, princess :)",,,
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :),,,
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,,,
ham,Ok. C u then.,,,
ham,Yeah that'd pretty much be the best case scenario,,,
ham,Okie,,,
ham,No break time one... How... I come out n get my stuff fr Ì_?,,,
ham,Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you,,,
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",,,
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",,,
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"," bt not his girlfrnd... G o o d n i g h t . . .@""",,
ham,Do you want bold 2 or bb torch,,,
ham,Poor girl can't go one day lmao,,,
spam,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,,,
ham,Y bishan lei... I tot Ì_ say lavender? ,,,
ham,Teach me apps da. When you come to college.,,,
ham,No. But we'll do medical missions to nigeria,,,
ham,Yes..gauti and sehwag out of odi series.,,,
ham,Sounds great! Are you home now?,,,
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,,,
ham,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,,,
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,,,
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,,,
ham,I had askd u a question some hours before. Its answer,,,
ham,Wife.how she knew the time of murder exactly,,,
ham,Oh you got many responsibilities.,,,
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,,,
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",,,
ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,,,
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",,,
ham,Can Ì_ call me at 10:10 to make sure dat i've woken up...,,,
ham,Just finished. Missing you plenty,,,
spam,"complimentary 4 STAR Ibiza Holiday or å£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",,,
ham,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),,,
ham,Yes da. Any plm at ur office,,,
ham,Oops i thk i dun haf enuff... I go check then tell Ì_..,,,
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,,
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,,,
ham,Ok... U enjoy ur shows...,,,
ham,* Will be september by then!,,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
ham,Hello which the site to download songs its urgent pls,,,
ham,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",,,
ham,Shall i get my pouch?,,,
spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04,,,
ham,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,,,
ham, &lt;#&gt;  mins but i had to stop somewhere first.,,,
ham,And popping &lt;#&gt; ibuprofens was no help.,,,
ham,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",,,
ham,Printer is cool. I mean groovy. Wine is groovying,,,
spam,INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,,,
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",,,
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),,,
ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,,,
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.,,,
ham,Full heat pa:-) i have applyed oil pa.,,,
ham,Ok... Then r we meeting later?,,,
ham,Midnight at the earliest,,,
ham,i am going to bed now prin,,,
ham,"By the way, 'rencontre' is to meet again. Mountains dont....",,,
ham,Where at were hungry too,,,
ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",,,
ham,Come by our room at some point so we can iron out the plan for this weekend,,,
ham,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?,,,
